task_id,task_name,assignee,status,priority,project,actual_duration,is_delayed,bottleneck_type,reassignment_count,comments,start_date,end_date,task_name_length,comment_length,has_comment,has_bottleneck,reassignment_flag,priority_ordinal,date_range,assignee_encoded,project_encoded,status_encoded,assignee_avg_duration,assignee_std_duration,assignee_task_count,assignee_median_duration,assignee_delay_rate,project_avg_duration,project_task_count,project_delay_rate
<<<<<<< HEAD
1,Drive frictionless e-services,user3,Blocked,Low,Project_C,6.0,0,Resource Shortage,0,,2025-11-29,2025-12-06,29,0,0,1,0,1,7,3,2,1,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,7.044444444444444,45,0.4666666666666667
2,Harness robust roi,user4,Assigned,High,Project_J,3.0,1,Resource Shortage,1,Production well strong note reveal prove.,2025-11-30,2025-12-04,18,41,1,1,1,3,4,4,9,0,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,6.836363636363636,55,0.3090909090909091
3,Benchmark open-source platforms,user1,In Progress,Medium,Project_A,11.0,0,Technical Issue,3,,2025-11-10,2025-11-21,31,0,0,1,1,2,11,0,0,3,7.84,4.581952172850095,50,7.0,0.46,6.6440677966101696,59,0.3389830508474576
4,Productize robust vortals,user8,Blocked,Medium,Project_A,4.0,0,,3,Style machine important here sound approach although.,2025-08-01,2025-08-05,25,53,1,0,1,2,4,8,0,1,5.714285714285714,2.979093821953246,49,5.0,0.3469387755102041,6.6440677966101696,59,0.3389830508474576
5,Drive 24/365 e-commerce,user3,Completed,High,Project_G,4.0,0,Dependency,1,Clear though blood hundred factor protect never.,2025-09-07,2025-09-11,23,48,1,1,1,3,4,3,6,2,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,8.527272727272727,55,0.43636363636363634
6,Brand robust experiences,user1,Blocked,Medium,Project_D,15.0,1,Technical Issue,1,,2026-01-19,2026-02-02,24,0,0,1,1,2,14,0,3,1,7.84,4.581952172850095,50,7.0,0.46,7.764705882352941,51,0.5098039215686274
7,Deliver collaborative vortals,user6,In Progress,Low,Project_D,8.0,1,Resource Shortage,0,,2025-09-15,2025-09-21,29,0,0,1,0,1,6,6,3,3,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.764705882352941,51,0.5098039215686274
8,Re-intermediate virtual markets,user5,Blocked,High,Project_B,10.0,0,Approval,2,Require this box.,2025-12-22,2026-01-02,31,17,1,1,1,3,11,5,1,1,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,6.982142857142857,56,0.5178571428571429
9,Implement back-end architectures,user9,Assigned,Low,Project_A,1.0,0,,0,,2025-08-05,2025-08-07,32,0,0,0,0,1,2,9,0,0,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,6.6440677966101696,59,0.3389830508474576
10,Synergize magnetic convergence,user10,Assigned,Medium,Project_I,12.0,0,Approval,0,Thousand business suffer only.,2025-12-17,2025-12-30,30,30,1,1,0,2,13,1,8,0,7.085714285714285,4.33434592780142,35,6.0,0.3142857142857143,7.530612244897959,49,0.4489795918367347
11,Incubate vertical systems,user9,In Progress,Medium,Project_B,8.0,0,Technical Issue,1,Other billion rich.,2025-12-25,2026-01-04,25,19,1,1,1,2,10,9,1,3,7.981481481481482,4.81150641589686,54,8.0,0.4444444444444444,6.982142857142857,56,0.5178571428571429
12,Morph robust systems,user6,In Progress,High,Project_G,13.0,1,Technical Issue,0,Culture term rule which voice must pick.,2025-09-13,2025-09-24,20,40,1,1,0,3,11,6,6,3,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,8.527272727272727,55,0.43636363636363634
13,Empower bricks-and-clicks web-readiness,user6,In Progress,High,Project_E,11.0,0,Resource Shortage,1,Require new somebody trade.,2025-09-27,2025-10-10,39,27,1,1,1,3,13,6,4,3,6.803921568627451,4.349802790210781,51,6.0,0.29411764705882354,7.093023255813954,43,0.3023255813953488
14,Engage next-generation interfaces,user3,In Progress,Medium,Project_J,2.0,1,Dependency,3,Author any walk brother in everything positive.,2025-12-20,2025-12-22,33,47,1,1,1,2,2,3,9,3,7.416666666666667,3.785938897200183,48,7.0,0.4791666666666667,6.836363636363636,55,0.3090909090909091
15,Exploit dynamic systems,user5,Blocked,Low,Project_C,2.0,0,Approval,0,Generation later certain try.,2025-12-22,2025-12-24,23,29,1,1,0,1,2,5,2,1,6.947368421052632,4.5490228645893165,57,7.0,0.42105263157894735,7.044444444444444,45,0.4666666666666667
16,Extend transparent convergence,user4,Blocked,Low,Project_D,5.0,1,Technical Issue,0,,2025-10-22,2025-10-25,30,0,0,1,0,1,3,4,3,1,7.770833333333333,4.090672229692834,48,7.0,0.3333333333333333,7.764705882352941,51,0.5098039215686274
17,Implement dynamic e-markets,user7,Assigned,Low,Project_J,5.0,1,Approval,0,Despite for pull.,2025-11-27,2025-12-01,27,17,1,1,0,1,4,7,9,0,8.415094339622641,4.249135487928696,53,8.0,0.5660377358490566,6.836363636363636,55,0.3090909090909091
