task_id,task_name,assignee,status,priority,project,actual_duration,is_delayed,bottleneck_type,reassignment_count,comments,start_date,end_date
1,Drive frictionless e-services,user3,Blocked,Low,Project_C,6.29,0,Resource Shortage,0,,2025-11-29,2025-12-06
2,Harness robust roi,user4,Assigned,High,Project_J,3.449480603153564,1,Resource Shortage,1,Production well strong note reveal prove.,2025-11-30,2025-12-04
3,Benchmark open-source platforms,user1,In Progress,Medium,Project_A,11.39,0,Technical Issue,3,,2025-11-10,2025-11-21
4,Productize robust vortals,user8,Blocked,Medium,Project_A,4.84,0,,3,Style machine important here sound approach although.,2025-08-01,2025-08-05
5,Drive 24/365 e-commerce,user3,Completed,High,Project_G,4.27,0,Dependency,1,Clear though blood hundred factor protect never.,2025-09-07,2025-09-11
6,Brand robust experiences,user1,Blocked,Medium,Project_D,15.467266313166945,1,Technical Issue,1,,2026-01-19,2026-02-02
7,Deliver collaborative vortals,user6,In Progress,Low,Project_D,8.919451082915275,1,Resource Shortage,0,,2025-09-15,2025-09-21
8,Re-intermediate virtual markets,user5,Blocked,High,Project_B,10.43,0,Approval,2,Require this box.,2025-12-22,2026-01-02
9,Implement back-end architectures,user9,Assigned,Low,Project_A,1.95,0,,0,,2025-08-05,2025-08-07
10,Synergize magnetic convergence,user10,Assigned,Medium,Project_I,12.6,0,Approval,0,Thousand business suffer only.,2025-12-17,2025-12-30
11,Incubate vertical systems,user9,In Progress,Medium,Project_B,8.65,0,Technical Issue,1,Other billion rich.,2025-12-25,2026-01-04
12,Morph robust systems,user6,In Progress,High,Project_G,13.033339184642186,1,Technical Issue,0,Culture term rule which voice must pick.,2025-09-13,2025-09-24
13,Empower bricks-and-clicks web-readiness,user6,In Progress,High,Project_E,11.52,0,Resource Shortage,1,Require new somebody trade.,2025-09-27,2025-10-10
14,Engage next-generation interfaces,user3,In Progress,Medium,Project_J,2.5026412397679474,1,Dependency,3,Author any walk brother in everything positive.,2025-12-20,2025-12-22
15,Exploit dynamic systems,user5,Blocked,Low,Project_C,2.57,0,Approval,0,Generation later certain try.,2025-12-22,2025-12-24
16,Extend transparent convergence,user4,Blocked,Low,Project_D,5.500809107003918,1,Technical Issue,0,,2025-10-22,2025-10-25
17,Implement dynamic e-markets,user7,Assigned,Low,Project_J,5.226712908160362,1,Approval,0,Despite for pull.,2025-11-27,2025-12-01
18,Implement clicks-and-mortar web-readiness,user8,In Progress,Medium,Project_A,3.39,0,Approval,0,Should reduce field when knowledge.,2025-11-23,2025-11-26
